Title,Author,Genre,Subject,Summary
Katie and the Waterlily Pond,James Mayhew,Children's Picture Book,"Art Appreciation, Monet, Gardens","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie in London,James Mayhew,Children's Picture Book,"Art Appreciation, London, Landmarks","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
Katie's Picture Show,James Mayhew,Children's Picture Book,"Art Appreciation, Museums, Paintings","Katie climbs into the paintings at the gallery and tumbles through the world inside them, meeting the art from the inside."
"Kay and Jay (Early Reader, Set 1, Book 6)",Shelley Davidow,Early Reader / Phonics,"Phonics, Vowel Combinations, Animals","Two snails cross the garden by day and night in the final book of the Early Reader Series, advancing readers toward long vowels and vowel teams."
Keepers of Life,Michael J. Caduto & Joseph Bruchac,Teaching Guide / Anthology,"Native American Stories, Plants, Ecology","Native stories about plants and the living earth, matched with botany and ecology activities for children."
Keepers of the Animals,Michael J. Caduto & Joseph Bruchac,Teaching Guide / Anthology,"Native American Stories, Animals, Environmental Education",Native American animal stories paired with hands-on wildlife activities for teachers and parents.
Kids Knitting,Melanie Falick,Craft Instruction,"Knitting, Children","A first knitting course for children, from making needles through finished projects."
Kindness: A Treasury of Buddhist Wisdom for Children and Parents,collected and adapted by Sarah Conover (illustrated by Valerie Wahl),Children's Anthology,"Buddhism, Kindness, Values","Traditional Buddhist tales and teachings retold for families, each illustrating compassion, generosity or mindfulness, with notes for parents."
King Maximo and the Number Knights,Howard Schrager (illustrated by Malin Lager),Children's Storybook / Waldorf Curriculum,"Number Qualities, Mathematics, Waldorf","King Maximo sends twelve knights out for a year to discover the greatest of all numbers; each returns to the feast with a tale revealing the character of his number, a verse from Joccomo the Jester, and a coat of arms capturing its essence. Written as twelve lesson-chapters used to introduce the qualities of numbers in Waldorf first and second grade."
King Red and the White Snow and Other Tales for Children,Reg Down,Children's Anthology / Waldorf,"Nature Stories, Winter, Seasons","A gathering of Reg Down's gentle seasonal tales for young children, centered on a winter story of King Red and the white snow."
Knitting Knights: Beyond the Sounds of ABC,Denise Eide,Children's Picture Book / Phonics,"Phonograms, Spelling","More multi-letter phonograms in rhyme and illustration, continuing the Logic of English sound-based alphabet series."
"Kumon Pre-Algebra, Grades 6–8",Kumon Publishing,Workbook,"Pre-Algebra, Mathematics",A self-paced pre-algebra workbook building from integers and fractions through equations and expressions.
Lady Tremaine,Rachel Hochhauser,Fantasy / Retelling,"Cinderella, Villain Origin, Fairy Tale","The Cinderella story told from the stepmother's side, before she became a villain."
Lamb's Tales from Shakespeare,Charles & Mary Lamb,Illustrated Classic,"Shakespeare, Retellings, Nineteenth Century",Twenty of Shakespeare's plays retold as prose stories for young readers. A decorative vintage binding.
Last Kiss of Summer,Jessica M. Felleman,Young Adult Romance,"Cape Cod, Chronic Illness, Second Chances","Sera and Luke are literally bound by a childhood heart transplant, and a Cape Cod summer brings them back together. A debut YA love story."
Lavender's Blue Dilly Dilly,Mary Thienes-Schunemann (illustrated by Lura Schwarz-Smith),Songbook / CD Set,"Nursery Rhymes, Mother Goose, Singing Games","Nursery rhymes, Mother Goose songs, and singing games for dancing and play, with guitar chords and a CD. Part of the Singing with Children series."
Learning to See the World Through Drawing,Scott Sutton,Art Instruction / Waldorf,"Drawing, Observation, Waldorf","A drawing course built on observation, developed for Waldorf classrooms and self-teaching artists."
Leave the World Behind,Rumaan Alam,Literary Fiction,"Apocalypse, Race and Class, Suspense","A family's Long Island vacation is interrupted by the house's owners fleeing a blackout in the city, and no one can learn what is happening."
Legends of the Talmud: A Collection of Ancient Magical Jewish Tales,Leah Vincent & Samuel Katz (illustrated by Aya Rosen),Anthology / Folklore,"Jewish Folklore, Talmud","Strange and magical stories drawn from the Talmud — demons, sages, transformations and impossible feats — retold for modern readers with art nouveau-style illustration."
"Len Bug and Jen Slug (Early Reader, Set 1, Book 3)",Shelley Davidow,Early Reader / Phonics,"Phonics, Short Vowels, Animals","A ladybug and a slug meet in the grass in this short-vowel phonetic reader, part of the six-book Early Reader Series for beginning decoders."
Leonardo's Science Workshop,Heidi Olinger,Children's Activity Book,"Science, Engineering, Art","Hands-on projects in physics, engineering and art inspired by Leonardo da Vinci's notebooks."
Let's Go for a Drive!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Planning, Flexibility, Imagination","The friends pack maps, sunglasses, umbrellas and bags for a road trip before realizing they have no car, and improvise a better adventure."
Library Lion,Michelle Knudsen (illustrated by Kevin Hawkes),Children's Picture Book,"Libraries, Rules, Friendship",A lion starts visiting the library and becomes a beloved helper by obeying every rule — until the day he has to break one to get help for the head librarian.
Life Cycles: Everything from Start to Finish,DK,Children's Reference,"Life Cycles, Biology",Illustrated life cycles across the living world — from mayflies and mushrooms to redwoods and stars.
Lift-the-Flap Engineering,"Rose Hall (illustrated by Rachael Cosgrove, Usborne)",Children's Novelty Nonfiction,"Engineering, Machines","A lift-the-flap introduction to how bridges, engines, robots and buildings are designed and built."
Lightlark,Alex Aster,Young Adult Fantasy / Romance,"Islands, Curses, Competition",Every hundred years the island of Lightlark appears and six cursed rulers compete in a deadly game to break their curses. First of the Lightlark Saga.
Listen to My Trumpet!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Honesty, Kindness, Music",Piggie's ear-splitting trumpet performance leaves Gerald struggling to be both honest and kind — and there is a twist to what she was playing.
Little Bear,Else Holmelund Minarik (illustrated by Maurice Sendak),Early Reader / I Can Read,"Family, Imagination, Bears","Four gentle stories of Little Bear and his mother — a snowsuit, a birthday soup, a trip to the moon and a wish — a founding classic of the I Can Read line."
Little Leaders: Bold Women in Black History,Vashti Harrison,Children's Nonfiction / Biography,"Black History, Women, Biography","Forty short illustrated profiles of Black women who broke barriers in science, art, politics, sport and activism."
Little Needle-Felt Animals,Gretel Parker,Craft Instruction,"Needle Felting, Animals",Patterns and technique for making small needle-felted animals.
Little Red Riding Hood,Nadia Fabris,Children's Picture Book / Folktale,"Fairy Tales, Wolves","A die-cut illustrated edition of the classic tale of the girl, the woodland path and the wolf who reaches Grandmother's house first."
"Living In... (Ready-to-Read Boxed Set: Brazil, China, India, Italy, Mexico, South Africa)",Chloe Perkins (illustrated by Tom Woolley),Early Reader Nonfiction,"World Cultures, Countries","Six Ready-to-Read titles, each narrated by a child describing daily life, food, school and festivals in their country."
Living Untethered: Beyond the Human Predicament,Michael A. Singer,Nonfiction / Spirituality,"Consciousness, Meditation, Letting Go","A step-by-step follow-up to The Untethered Soul, working through where thoughts and emotions come from and how to release them."
LMNOP and All the Letters A to Z,Howard Schrager (illustrated by Bruce Bischof),Children's Storybook / Waldorf Curriculum,"Alphabet, Letter Forms, Waldorf","Verses and images that introduce each letter of the alphabet through pictures drawn from nature and story, in the Waldorf tradition of teaching letters imaginatively."
Look I'm a Scientist,DK,Children's Activity Book,"Science, Preschool STEM",Simple hands-on science experiments for very young children.
Look I'm an Engineer,DK,Children's Activity Book,"Engineering, Preschool STEM",Simple hands-on engineering activities for very young children.
Looking for Alaska,John Green,Young Adult Fiction,"Boarding School, Grief, Friendship",Miles goes to boarding school looking for a Great Perhaps and meets Alaska Young. Green's first novel.
Lord of the Flies: The Graphic Novel,William Golding (adapted and illustrated by Aimee de Jongh),Graphic Novel,"Survival, Civilization, Adaptation",Aimee de Jongh's graphic adaptation of Golding's novel about schoolboys marooned on an island. Penguin Classics.
Lore Olympus: Volume One,Rachel Smythe,Graphic Novel,"Greek Mythology, Webtoon, Romance","Hades and Persephone retold as a modern Olympus of offices, parties, and tabloids. Collects the first arc of Smythe's Webtoon series."
Lore Olympus: Volume Three,Rachel Smythe,Graphic Novel,"Greek Mythology, Webtoon, Romance",Old grudges among the gods surface as Persephone's own power becomes harder to hide. Third collected volume.
Lore Olympus: Volume Two,Rachel Smythe,Graphic Novel,"Greek Mythology, Webtoon, Romance",Persephone navigates life in the mortal realm and her deepening entanglement with Hades. Second collected volume.
"Louis' Farm, Issue 2 (Spring 2023)",Louis' Farm,Children's Periodical / Waldorf,"Farm Life, Seasons, Nature","A seasonal children's magazine of farm stories, verses and watercolor illustration in the Waldorf tradition."
Love & Gelato,Jenna Evans Welch,Young Adult Romance,"Italy, Travel, Grief",Lina goes to Tuscany after her mother's death and works through her mother's old journal to learn what happened there. First of the Love & Gelato series.
Lucia's Travel Bus,"Nam-joong Kim (illustrated by Eun-min Jeong, edited by Joy Cowley)",Children's Picture Book,"Chile, World Cultures, Family","Part of the Global Kids series: a girl travels through Chile's landscapes aboard her grandfather's bus, meeting the people and places of her country."
